Arabizi,English
binaya,structure
ch3er,hair
ch3ar,hair
mchro3 9anon,bill
mchrou3 9anoun,bill
mchro3 9anoun,bill
factoura,bill
9elb,heart
9alb,heart
se77a,force
s77a,force
3ndak,attention
3endak,attention
naja7,success
risala,letter
ittifa9,agreement
3aSima,capital
t7lil,analysis
sokkan,population
mo7it,environment
2ada2,performance
model,model
materiel,material
naZaria,theory
nomow,growth
zher,chance
3ala9a,relationship
wld,son
weld,son
wald,son
b7er,sea
b7ar,sea
b7r,sea
tsjil,record
9yas,size
mlk,property
milk,property
fada2,space
missa7a,space
moSTala7,term
modir,director
taSarrof,behaviour
taSarrouf,behaviour
3ilaj,treatment
mo3amala,treatment
Ta9a,energy
dakhl,income
kas,cup
ka2s,cup
mokhTaT,scheme
mokhaTaT,scheme
design,design
jawab,response
DaghT,pressure
DghT,pressure
Sala,hall
couple,couple
tiknologia,technology
difa3,defence
la2i7a,list
modir,chairman
contra,contract
3a9d,contract
mo9aTa3a,county
fer9,difference
2oTil,hotel
shmsh,sun
shms,sun
produit,product
mntouj,product
mantouj,product
mantoj,product
SSif,summer
loun,colour
faSl,season
w7da,unit
wa7da,unit
jerDa,park
jrDa,park
sa3a,hour
stitmar,investment
khtibar,test
rajl,husband
khdma,employment
style,style
2osloub,style
3ilm,science
choufa,look
meDher,look
mDher,look
mDhr,look
Sf9a,deal
Saf9a,deal
Sef9a,deal
cho7na,charge
mosa3ada,help
9tiSad,economy
jdid,new
jadid,new
Sf7a,page
Saf7a,page
Sef7a,page
khaTar,risk
7adath,event
tSwira,picture
commission,commission
je3ba,commission
j3ba,commission
ja3ba,commission
7outa,fish
kollia,college
zit,oil
Tbib,doctor
forSa,opportunity
forSa,occasion
forSa,chance
film,film
mo7aDara,conference
application,application
TaTbi9,application
Sa7afa,press
jem3,addition
jam3,addition
jm3,addition
station,station
ma7al,shop
mnTa9a,region
minTa9a,region
chek,doubt
chk,doubt
aghlabia,majority
daraja,degree
dem,blood
dmm,blood
dm,blood
SoT,sound
SouT,sound
maw9i3,site
ahammia,importance
3onwan,title
la9ab,title
faSila,species
zyada,increase
ziyada,increase
ihtimam,concern
moSaba9a,competition
bernamaj,software
siyda,lady
jawab,answer
2ard,earth
bent,daughter
hadaf,purpose
ms2oulia,responsibility
mas2oulia,responsibility
ra2is,leader
wad,river
ouad,river
3in,eye
3ayn,eye
9oDra,ability
jadibia,appeal
mo3arada,opposition
7amla,campaign
7emla,campaign
7mla,campaign
7tiram,respect
mohimma,task
solde,sale
tkhfiD,sale
kaml,whole
DabiT,officer
9ism,division
biasa,piece
piasa,piece
na9S,lack
marad,disease
mard,disease
mrd,disease
materiel,equipment
misa7a,surface
oxford,oxford
Talab,demand
boSTa,post
fom,mouth
fmm,mouth
fm,mouth
radio,radio
mo7awala,attempt
9iTa3,sector
charika,firm
7ala,status
salam,peace
tanawwo3,variety
ostad,teacher
stad,teacher
mo3llim,teacher
mo3allim,teacher
barnamaj,show
naTi9,speaker
trebia,baby
tribia,baby
dra3,arm
9a3ida,base
anisa,miss
2anisa,miss
mochkil,trouble
ta9afa,culture
ittijah,direction
siya9,context
chakhSiya,character
chkhSiya,character
7arf,character
7rf,character
ni9ach,discussion
mo7adata,discussion
maDi,past
wazn,weight
monaDDama,organisation
akh,brother
dawri,league
3oSba,league
charT,condition
makina,machine
ni9ach,argument
dalil,argument
sex,sex
jins,sex
mizania,budget
nglizia,english
transpor,transport
9sem,share
9sm,share
walida,mum
flous cash,cash
tabadol,exchange
mosa3ada,aid
mktaba,library
maktaba,library
noskha,version
nskha,version
9a3ida,rule
atay,tea
tawazon,balance
mizan,balance
3chia,afternoon
mnTa9a,district
minTa9a,district
Dora,turn
mohimma,duty
stiTla3,survey
7oDor,presence
7oDour,presence
t2tir,influence
ta2tir,influence
te2tir,influence
7jra,stone
7ajra,stone
7ejra,stone
kelb,dog
klb,dog
kalb,dog
mjmo3a,collection
modir,executive
khiTab,speech
waDifa,function
malika,queen
jwaj,marriage
STok,stock
fachal,failure
tlmid,student
tilmid,student
Talib,student
mjhoud,effort
majhoud,effort
mejhoud,effort
3oTla,holiday
carriere,career
hojom,attack
hojoum,attack
8ojoum,attack
Tol,length
3awd,horse
ta9addom,progress
nbta,plant
nabta,plant
nebta,plant
3ala9a,relation
kora,ball
dakira,memory
bar,bar
rbe3,quarter
rb3,quarter
t2tir,impact
race,race
Sora,image
tSwira,image
ti9a,trust
7affa,edge
gaz,gas
sekka,railway
skka,railway
t3bir,expression
momayyiza,advantage
avantage,advantage
dheb,gold
dhb,gold
dhab,gold
khcheb,wood
khchb,wood
khchab,wood
rizo,network
text,text
ghaba,forest
okht,sister
kht,sister
rjel,foot
rjl,foot
Tl3,rise
chta,winter
chtwa,winter
9nt,corner
9ent,corner
9ont,corner
9nt,place
9ent,place
9ont,place
aSoranS,insurance
Darar,damage
kridi,credit
2alam,pain
tchri3,legislation
tachri3,legislation
Se77a,strength
S77a,strength
sor3a,speed
kdia,hill
kodia,hill
ni9ach,debate
irada,will
7aDir,present
ti9a,confidence
Sebbar,patient
mriD,patient
ri7,wind
fer9a,band
fr9a,band
mt7af,museum
mot7af,museum
firma,farm
jonayh,pound
match,match
t9Dir,assessment
ta9Dir,assessment
risala,message
miSaj,message
kora,football
lla,no
7ayawan,animal
jld,skin
jeld,skin
jald,skin
mshhed,scene
mashhad,scene
mash8ad,scene
ma9al,article
materiel,stuff
mo9addima,introduction
msra7ia,play
idara,administration
khawf,fear
khouf,fear
ab,dad
nisba,proportion
jazira,island
kontakt,contact
yaban,japan
jappon,japan
moTalaba,claim
vidio,video
tlfaza,tv
wojoud,existence
tilifoun,telephone
7araka,move
masafa,distance
rtiya7,relief
3iyada,cabinet
khizana,cabinet
biTala,unemployment
wa9i3,reality
hadaf,target
7jra,rock
7ajra,rock
7ejra,rock
fikra,concept
rou7,spirit
monaDDama,organization
bni,construction
tilifoun,phone
tawzi3,distribution
9iTar,train
mnDr,sight
mnDer,sight
menDer,sight
So3oba,difficulty
3amil,factor
tmrin,exercise
wikand,weekend
m3raka,battle
ma3raka,battle
me3raka,battle
bourse,grant
min7a,grant
Tiyyara,aircraft
9nTra,bridge
9enTra,bridge
9anTra,bridge
guenTra,bridge
gunTra,bridge
guanTra,bridge
stratijia,strategy
contrast,contrast
tawaSol,communication
khlfia,background
khalfia,background
khelfia,background
shkel,shape
shakl,shape
vin,wine
njma,star
nejma,star
najma,star
amal,hope
khtiyar,selection
tafaSil,detail
tfSil,detail
mosta3mil,user
most3mil,user
kliyan,client
ra2is,master
chta,rain
3arD,offer
3rD,offer
3erD,offer
hadaf,goal
3cha,dinner
maw9if,attitude
wakala,agency
m93ed,seat
m93ad,seat
ma93ad,seat
Tari9a,manner
kermoS,fig.
kermouS,fig.
azma,crisis
de7ka,smile
d7ka,smile
intaj,output
ml7oDa,note
modakkira,note
nota,note
ijra2,procedure
msre7,theatre
Dora,tour
3tiraf,recognition
wsT,middle
ghiyab,absence
bakia,package
masar,track
biTa9a,card
3alama,sign
ichara,sign
ramz,sign
ltizam,commitment
la3ib,player
le33ab,player
tahdid,threat
thdid,threat
t8did,threat
Ta9s,weather
jow,element
jaw,element
tnbih,notice
tanbih,notice
tnbi8,notice
ntiSar,victory
te7t,bottom
ta7t,bottom
malia,finance
flous,fund
milaf,file
milef,file
milf,file
rbe7,profit
rb7,profit
rba7,profit
priz,jack
Tri9,route
chinwa,china
mSrof,expenditure
tani,second
nDibaT,discipline
siloun,cell
zinzana,cell
raddat lfi3l,reaction
9l3a,castle
9al3a,castle
9el3a,castle
mo2tamar,congress
fard,individual
ferd,individual
9iyada,lead
3tibar,consideration
din,debt
dine,debt
khtiyar,option
m3riD,exhibition
ma3riD,exhibition
iSla7,reform
teshdid,emphasis
tshdid,emphasis
tashdid,emphasis
rabi3,spring
jmhor,audience
jomhor,audience
jom8our,audience
khaSSia,feature
miza,feature
myza,feature
lmsa,touch
lamsa,touch
lemsa,touch
milkia,estate
majliss,assembly
mjliss,assembly
7ajm,volume
mocharaka,contribution
program,curriculum
maDhar,appearance
mDhar,appearance
mDher,appearance
mo2assasa,institute
mo2ssasa,institute
3oDwia,membership
3rsh,branch
3orsh,branch
3arsh,branch
zbel,waste
zbl,waste
zbal,waste
3n9,neck
3on9,neck
3ng,neck
3ong,neck
mawDo3,object
capitin,captain
9obTan,captain
ta7addi,challenge
mo7adata,conversation
7dit,conversation
7tit,conversation
kod,code
taj,crown
skat,silence
adab,literature
imane,faith
jahennam,hell
jahannam,hell
mdkhl,entry
mdkhal,entry
dkhla,entry
nti9al,transfer
ssiyed,gentleman
ssiyd,gentleman
chkara,bag
mi7faDa,bag
fakhr,coal
fakher,coal
t79i9,investigation
ta79i9,investigation
rjel,leg
rjl,leg
sa9,leg
3ti9ad,belief
majmo3,total
majmou3,total
ra2is,major
9a2id,major
wati9a,document
waSf,description
hadaf,aim
gharaD,aim
vol,flight
khatima,conclusion
ta9lid,tradition
t9lid,tradition
plizir,pleasure
moul,owner
mo3ahada,treaty
mo3a8ada,treaty
rghba,desire
raghba,desire
professor,professor
nskha,copy
noskha,copy
7amD,acid
9Ser,palace
9Sr,palace
adrissa,address
mo2ssasa,institution
mo2assasa,institution
ghda,lunch
jil,generation
chrik,partner
charik,partner
moTor,engine
jornan,newspaper
tkhfiD,reduction
takhfiD,reduction
rafahia,welfare
t3rif,definition
ta3rif,definition
te3rif,definition
Tl9,release
Tle9,release
tSwit,vote
fa7S,examination
9aDi,judge
ghilaf jawwi,atmosphere
9iyada,leadership
sma,sky
nefs,breath
nfs,breath
nafs,breath
khal9,creation
khl9,creation
khel9,creation
Sf,row
Saf,row
Sef,row
guide,guide
guide,guide
7lib,milk
tghTia,cover
shasha,screen
hadaf,intention
na9d,criticism
ne9ra,silver
no9ra,silver
n9ra,silver
kliyan,customer
klian,customer
ri7la,journey
tfsir,explanation
tafsir,explanation
tefsir,explanation
khDr,green
khDer,green
3bar,measure
dmagh,brain
m3na,significance
me3na,significance
iSaba,injury
jria,run
jrya,run
jeria,run
plage,coast
ti9nia,technique
wad,valley
ouad,valley
mchroub,drink
mchrob,drink
machrob,drink
majalla,magazine
imkania,potential
tawra,revolution
mostawTana,settlement
3isa,christ
ma3din,metal
m3dn,metal
9tira7,motion
mo2ashshir,index
baligh,adult
taDakhkhom,inflation
riyaDa,sport
riaDa,sport
mofaja2a,surprise
ta9a3od,pension
m3ml,factory
ma3mal,factory
me3mel,factory
shariT,tape
kaSiTa,tape
tayyar,flow
7did,iron
khaT,lane
Tri9,lane
piscine,pool
7fra,hole
7ofra,hole
7efra,hole
parTma,flat
mo7tawa,content
mazij,combination
tkhliTa,combination
jelsa,session
jlsa,session
jalsa,session
maw3id,appointment
mo3id,appointment
lamoD,fashion
mostahlik,consumer
klian,consumer
sokna,accommodation
skna,accommodation
darajat l7arara,temperature
din,religion
dine,religion
katib,author
mo2allif,author
omma,nation
2omma,nation
chamali,northern
shamali,northern
3ayyina,sample
mosa3ada,assistance
tarjama,interpretation
terjama,interpretation
trjama,interpretation
ta2wil,interpretation
t2wil,interpretation
janib,aspect
3arD,display
ktef,shoulder
ktf,shoulder
wakil,agent
Salon,gallery
konSir,cancer
i9tira7,proposal
9tira7,proposal
2i9tira7,proposal
tasalsol,sequence
bakhira,ship
baTo,ship
entretiyan,interview
markaba,vehicle
merkaba,vehicle
dimo9raTia,democracy
ta7sin,improvement
t7sin,improvement
TaTwir,improvement
tawarroT,involvement
3am,general
jiniral,general
van,van
wjba,meal
wajba,meal
fTor,breakfast
moTor,motor
ida3a,channel
nTiba3,impression
Sonri,tone
wer9a,sheet
war9a,sheet
wr9a,sheet
talawwoth,pollution
ljamal,beauty
alzzine,beauty
morbba3,square
morabba3,square
morebba3,square
ro2ya,vision
bo93a,spot
tmyiz,distinction
tamyiz,distinction
9ehwi,brown
9ahwi,brown
9hwi,brown
jma3a,crowd
mazoT,fuel
mjmo3,sum
majmo3,sum
nkhifaD,decline
mdkhol,revenue
madkhol,revenue
madkhoul,revenue
lkhrif,fall
Ti7a,fall
rijim,diet
trab,soil
9ari2,reader
SaDma,shock
SDma,shock
SeDma,shock
fakiha,fruit
b anniyaba,behalf
nif,nose
mnkher,nose
mankher,nose
mnkhar,nose
7did,steel
fennan,artist
fannan,artist
oughnia,song
oghnia,song
disk,song
Siyana,maintenance
tekwin,formation
takwin,formation
tkwin,formation
gazon,grass
naTi9 bi ism,spokesman
telj,ice
talj,ice
tlj,ice
7adith,talk
bernamaj,program
barnamaj,program
brnamaj,program
rabiT,link
khabir,expert
ikspir,expert
mo2assasa,establishment
mo2ssasa,establishment
mika,plastic
plastic,plastic
morsha7,candidate
mamarr,passage
kanisa,parish
marji3,ref
merji3,ref
mrji3,ref
Tawari2,emergency
mas2oulia,liability
ms2oulia,liability
maw9i3,location
iTar,framework
iDrab,strike
l3robia,countryside
khariTa,map
bo7ayra,lake
manzili,household
mnzili,household
menzili,household
mowafa9a,approval
7odoud,border
Tayr,bird
Tir,bird
Twiyer,bird
dostour,constitution
khrif,autumn
kharif,autumn
mech,cat
mesh,cat
msh,cat
fla7a,agriculture
fila7a,agriculture
zira3a,agriculture
tarkiz,concentration
trkiz,concentration
terkiz,concentration
shab,guy
derri,guy
keswa,dress
kswa,dress
jbel,mountain
jbl,mountain
ra2is ta7rir,editor
ra2is t7rir,editor
ra2is te7rir,editor
mowDo3,theme
mwDo3,theme
mawDo3,theme
ghalaT,error
khaTa2,error
9arD,loan
9rD,loan
9erD,loan
kridi,loan
TanSio,stress
TonSio,stress
ta3afi,recovery
DDo,electricity
rokod 9tiSadi,recession
tarwa,wealth
Talab,request
mo9arana,comparison
byeD,white
byaD,white
mechya,walk
mchya,walk
terkiz,focus
tarkiz,focus
trkiz,focus
chef,chief
ra2is,chief
lwalid,parent
lwalida,parent
kotla,mass
3shba,bush
3oshb,bush
sas,foundation
7emmam,bath
7ammam,bath
7mmam,bath
mwDo3,item
mawDo3,item
moDo3,item
nachr,publication
3chr snin,decade
3achr snin,decade
plage,beach
skar,sugar
sokkar,sugar
3lou,height
3low,height
rtifa3,height
katib,writer
blaka,panel
Sira3,struggle
natija,outcome
kafa2a,efficiency
jarima,offence
addi99a,resolution
khabir,specialist
bar,pub
ta3awon,co-operation
merSa,port
7adita,incident
tamtil,representation
khobz,bread
khbz,bread
charT,clause
sharT,clause
shrT,clause
khata2,mistake
ghalaT,mistake
kheddam,worker
ta9addom,advance
imbraToria,empire
mfhoum,notion
mafhoum,notion
tawSil,delivery
sndo9,chest
rokhSa,licence
rkhSa,licence
motawaSSiT,average
tawsi3,expansion
twsi3,expansion
tousi3,expansion
majmo3a,block
mjmo3a,block
badil,alternative
mostashar,chancellor
l7em,meat
l7m,meat
l7am,meat
ma7all,store
magaza,store
ddat,self
stira7a,break
drama,drama
charika,corporation
3omla,currency
tawsi3,extension
tousi3,extension
mo2tamar,convention
mo3ahada,convention
sharaka,partnership
mahara,skill
tam3elmit,skill
jawla,round
mDowwer,round
nniDam dial l7okm,regime
t79i9,inquiry
ta79i9,inquiry
stifsar,inquiry
rigbi,rugby
felsafa,philosophy
falsafa,philosophy
flsafa,philosophy
majal,scope
bab,gate
a9allia,minority
daka2,intelligence
risTora,restaurant
natija,consequence
mT7ana,mill
golf,golf
ta9a3od,retirement
asba9ia,priority
awlawia,priority
Tiyara,plane
far9,gap
fer9,gap
9elb,core
9alb,core
khal,uncle
3mm,uncle
3em,uncle
nachat,fun
nashat,fun
woSol,arrival
telj,snow
lla,no
Darf,circumstance
Derf,circumstance
amr,command
ta3assof,abuse
ta3ssof,abuse
isa2a,abuse
7gra,abuse
7ogra,abuse
7ed,limit
7d,limit
ma9am,situation
ma9aam,situation
maqam,situation
garanTi,guarantee
garanti,guarantee
sllom,ladder
slloum,ladder
sellom,ladder
9zziba,tail
akhbar,news
a5bar,news
akhbaar,news
jornan,newspaper
journal,newspaper
journan,newspaper
jarida,newspaper
t9rir,report
ta9rir,report
te9rir,report
ghech,cheating
ghechch,cheating
ghch,cheating
li9a7,vaccine
nfijar,explosion
infijar,explosion
tajmmo3,gathering
tajemmo3,gathering
tajammo3,gathering
jtima3,meeting
ljtima3,meeting
Soura,picture
Sora,picture
9edd,size
9dd,size
chkel,shape
chkl,shape
chikaya,complaint
mjerr,drawer
mjrr,drawer
mjarr,drawer
program,program
sinyal,signal
sinial,signal
siniyal,signal
sdd,dam
sedd,dam
sedd,dam
Tlila,look
kaDo,gift
karTa,card
carta,card
carTa,card
3odr,excuse
t3li9,comment
ta3li9,comment
te3li9,comment
tlfaza,television
telfaza,television
tilifon,phone
kabl,cable
cable,cable
priz,power plug
prise,power plug
charjour,charger
charjor,charger
internet,internet
intirnit,internet
antirnit,internet
vidio,video
odio,audio
audio,audio
odyo,audio
watsap,whatsapp
fisbok,facebook
fisbouk,facebook
faysbouk,facebook
bla slk,wireless
bla selk,wireless
bla salk,wireless
slk,wire
selk,wire
salk,wire
batri,battery
batterie,battery
boton,button
bouton,button
botona,button
tilicomand,remote control
telecomand,remote control
telecommande,remote control
nitflix,netflix
netflix,netflix
parabol,tv receiver
parabole,tv receiver
pici,laptop
pc,laptop
chacha,screen
chaacha,screen
lizyat,headphones
liziat,headphones
lizikottour,headphones
lizikotour,headphones
lizikotor,headphones
matiryal,hardware
mataryan,hardware
materiel,hardware
portabl,cell phone
portable,cell phone
maw3id,appointment
mou3id,appointment
maou3id,appointment
reveil,alarm
revey,alarm
rrevey,alarm
ra9m,number
raqm,number
3adad,number
Sifr,zero
ziro,zero
zero,zero
wahd,one
wa7d,one
jouj,two
joj,two
tlata,three
rb3a,four
reb3a,four
rab3a,four
khmsa,five
5msa,five
khamsa,five
khemsa,five
stta,six
seta,six
setta,six
satta,six
sb3a,seven
sab3a,seven
seb3a,seven
tmnia,eight
tmenia,eight
tmania,eight
ts3oud,nine
ts3od,nine
tas3oud,nine
tes3oud,nine
3chra,ten
3achra,ten
aachra,ten
7Dach,eleven
hdach,eleven
Tnach,twelve
TlTTach,thirteen
telTach,thirteen
tleTTach,thirteen
tleTach,thirteen
rb3Tach,fourteen
rba3Tach,fourteen
rbe3Tach,fourteen
khmsTach,fifteen
5msTach,fifteen
khamsTach,fifteen
khemsTach,fifteen
sTTach,sixteen
seTach,sixteen
sTach,sixteen
sb3Tach,seventeen
sbe3Tach,seventeen
sba3Tach,seventeen
tmnTach,eighteen
tmenTach,eighteen
tmanTach,eighteen
ts3Tach,nineteen
tsa3Tach,nineteen
tse3Tach,nineteen
3chrin,twenty
3achrin,twenty
3echrin,twenty
3ochrin,twenty
wahd o 3chrin,twenty one
wahd w 3chrin,twenty one
wahdo3chrin,twenty one
wahdw3chrin,twenty one
tnayn o 3chrin,twenty two
tnayn w 3chrin,twenty two
tnayno3chrin,twenty two
tnaynw3chrin,twenty two
tlata o 3chrin,twenty three
tlata w 3chrin,twenty three
tlatao3chrin,twenty three
tlataw3chrin,twenty three
rb3a o 3chrin,twenty four
rb3a w 3chrin,twenty four
rb3ao3chrin,twenty four
rb3aw3chrin,twenty four
khmsa o 3chrin,twenty five
khmsa w 3chrin,twenty five
khmsao3chrin,twenty five
khmsaw3chrin,twenty five
stta o 3chrin,twenty six
stta w 3chrin,twenty six
sttao3chrin,twenty six
sttaw3chrin,twenty six
sb3a o 3chrin,twenty seven
sb3a w 3chrin,twenty seven
sb3ao3chrin,twenty seven
sb3aw3chrin,twenty seven
tmnya o 3chrin,twenty eight
tmnya w 3chrin,twenty eight
tmnyao3chrin,twenty eight
tmnyaw3chrin,twenty eight
ts3oud o 3chrin,twenty nine
ts3oud w 3chrin,twenty nine
ts3oudo3chrin,twenty nine
ts3oudw3chrin,twenty nine
tlatin,thirty
rb3in,forty
rab3in,forty
reb3in,forty
khmsin,fifty
5amsin,fifty
khamsin,fifty
khemsin,fifty
stin,sixty
settin,sixty
sattin,sixty
sttin,sixty
sb3in,seventy
seb3in,seventy
sab3in,seventy
tmanin,eighty
tamanin,eighty
ts3in,ninety
tes3in,ninety
tas3in,ninety
wahd o ts3in,ninety one
wahd w ts3in,ninety one
wahdots3in,ninety one
wahdwts3in,ninety one
tnayn o ts3in,ninety two
tnayn w ts3in,ninety two
tnaynots3in,ninety two
tnaynwts3in,ninety two
tlata o ts3in,ninety three
tlata w ts3in,ninety three
tlataots3in,ninety three
tlatawts3in,ninety three
rb3a o ts3in,ninety four
rb3a w ts3in,ninety four
rb3aots3in,ninety four
rb3awts3in,ninety four
khmsa o ts3in,ninety five
khmsa w ts3in,ninety five
khmsaots3in,ninety five
khmsawts3in,ninety five
stta o ts3in,ninety six
stta w ts3in,ninety six
sttaots3in,ninety six
sttawts3in,ninety six
sb3a o ts3in,ninety seven
sb3a w ts3in,ninety seven
sb3aots3in,ninety seven
sb3awts3in,ninety seven
tmnya o ts3in,ninety eight
tmnya w ts3in,ninety eight
tmnyaots3in,ninety eight
tmnyawts3in,ninety eight
ts3oud o ts3in,ninety nine
ts3oud w ts3in,ninety nine
ts3oudots3in,ninety nine
ts3oudwts3in,ninety nine
myya,hundred
mya,hundred
mia,hundred
alf,thousand
mlyon,million
melyoun,million
mlyoun,million
malyoun,million
mlyar,billion
malyar,billion
melyar,billion
w,and
ou,and
o,and
lwwl,first
lowwl,first
lowel,first
lowwel,first
ttani,second
ttalt,third
rrab3,fourth
rrabe3,fourth
rraba3,fourth
lkhams,fifth
lkhames,fifth
ssads,sixth
ssades,sixth
ssab3,seventh
ssabe3,seventh
ttamn,eighth
ttamen,eighth
ttas3,ninth
ttase3,ninth
l3achr,tenth
l3acher,tenth
llkher,last
llkhar,last
lkher,last
akhir,last
ttolot,one-third
ttolout,one-third
rrobo3,one-fourth
rrobou3,one-fourth
lkhomos,one-fifth
lkhomous,one-fifth
ssodos,one-sixth
ssodous,one-sixth
ttomon,one-eighth
ttomoun,one-eighth
l3ochor,one-tenth
l3ochour,one-tenth
kawkab,planet
kaoukab,planet
9aarra,continent
9arra,continent
qaarra,continent
ifri9ia,africa
ifriqia,africa
europa,europe
oroppa,europe
blad,country
bilad,country
dawla,country
doula,country
dola,country
dowla,country
mghrib,morocco
maghrib,morocco
ssa3oudia,saudi arabia
9atar,qatar
imarat,emirates
dzair,algeria
jaza2ir,algeria
ljaza2ir,algeria
ljazayr,algeria
fransa,france
Sbania,spain
brT9iz,portugal
lbart9iz,portugal
bortoghal,portugal
lbortoghal,portugal
almania,germany
almanya,germany
swisra,switzerland
souisra,switzerland
japoun,japan
jjapoun,japan
jjapon,japan
mirikan,united states
lmirikan,united states
ngliz,united kingdom
negliz,united kingdom
ingliz,united kingdom
bljika,belgium
beljika,belgium
baljika,belgium
talyan,italy
talian,italy
misr,egypt
misra,egypt
mesr,egypt
maSr,egypt
touns,tunisia
moritania,mauritania
mouritania,mauritania
filistin,palestine
filistine,palestine
chinwa,china
SSin,china
younan,greece
yonan,greece
mdina,city
madina,city
3aSima,capital
3aaSima,capital
fas,fez
faas,fez
fes,fez
sla,salé
sala,salé
mknas,meknes
meknes,meknes
meknas,meknes
meknes,meknes
oujda,oujda
wejda,oujda
ouajda,oujda
wjda,oujda
9niTra,kenitra
qniTra,kenitra
agadir,agadir
tetouan,tetouan
TiTwan,tetouan
TeTwan,tetouan
titouan,tetouan
tmara,temara
temara,temara
asfi,safi
safi,safi
mo7mmadia,mohammedia
mohammadia,mohammedia
mo7mmedia,mohammedia
mohmmedia,mohammedia
khribga,khouribga
khouribga,khouribga
khoribga,khouribga
kaza,casablanca
casa,casablanca
darbida,casablanca
ddar lbida,casablanca
dar bida,casablanca
Tanja,tangier
mrrakch,marrakech
mrrakech,marrakech
mrrakach,marrakech
rbaT,rabat
jdida,el jadida
el jadida,el jadida
jjdida,el jadida
bnimllal,beni mellal
bni mllal,beni mellal
bni mellal,beni mellal
bani mellal,beni mellal
ait melloul,ait melloul
nnador,nador
nador,nador
dar bo3zza,dar bouazza
dar bouazza,dar bouazza
darbo3zza,dar bouazza
dar bo3za,dar bouazza
taza,taza
settat,settat
sttat,settat
stat,settat
berrchid,berrechid
brrchid,berrechid
brchid,berrechid
khmisat,khemisset
khemisset,khemisset
khomisat,khemisset
lkhmisat,khemisset
inzggan,inezgane
inzegane,inezgane
inezgane,inezgane
inezgan,inezgane
9Sr lkhbir,ksar el kabir
l9Ser lkbir,ksar el kabir
9Sar lkbir,ksar el kabir
9Ser el kabir,ksar el kabir
l3raich,larache
l3raych,larache
laaraich,larache
glmim,guelmim
golmim,guelmim
guelmim,guelmim
glimim,guelmim
khnifra,khenifra
khonifra,khenifra
khenifra,khenifra
brkan,berkane
berkane,berkane
berkan,berkane
taourirt,taourirt
tawrirt,taourirt
boskkora,bouskoura
boskora,bouskoura
bouskoura,bouskoura
bouskora,bouskoura
lf9ih bn Sal7,fqih ben saleh
f9ih bn Sal7,fqih ben saleh
lf9ih ben sale7,fqih ben saleh
f9ih ben Salh,fqih ben saleh
dchira,dcheira
dcheira,dcheira
dchyra,dcheira
wadzm,oued zem
wad zem,oued zem
ouad zem,oued zem
oued zem,oued zem
9l3a tsraghna,kalaa sraghna
9el3a t sraghna,kalaa sraghna
9al3a tsraghna,kalaa sraghna
kalaa tsraghna,kalaa sraghna
sidi sliman,sidi slimane
sidi slimane,sidi slimane
rrachidia,errachidia
errachidia,errachidia
grsif,guercif
guersif,guercif
garsif,guercif
guarsif,guercif
wlad tayma,oulad teima
oulad teima,oulad teima
ouled teima,oulad teima
oulad taima,oulad teima
ben grir,ben guerir
bngrir,ben guerir
bengrir,ben guerir
ben guerir,ben guerir
tiflt,tifelt
tifelt,tifelt
l9li3a,lqliaa
lqli3a,lqliaa
la9li3a,lqliaa
taroudant,taroudant
Sfro,sefrou
sfrou,sefrou
sefrou,sefrou
Swira,essaouira
SSwira,essaouira
souira,essaouira
essawira,essaouira
fnide9,fnideq
lfnide9,fnideq
fnid9,fnideq
lfnid9,fnideq
sidi 9assem,sidi kacem
sidi 9asm,sidi kacem
sidi 9asem,sidi kacem
tiznit,tiznit
TanTan,tantan
Tan Tan,tantan
warzazat,ouarzazate
ouarzazat,ouarzazate
ouerzazat,ouarzazate
sou9larb3a,souk el arbaa
sou9 lab3a,souk el arbaa
youssoufia,youssoufia
yousoufia,youssoufia
yosofia,youssoufia
lyousoufia,youssoufia
l8rawiyin,lahraouyine
lahraouiyine,lahraouyine
la8rawiyin,lahraouyine
martil,martil
3in 7rrouda,ain harrouda
3in 7arouda,ain harrouda
3ayn 7errouda,ain harrouda
Skhirat,Skhirat
SSkhirat,Skhirat
wazzan,ouazzane
ouazzan,ouazzane
bnsliman,benslimane
bensliman,benslimane
benslimane,benslimane
ben sliman,benslimane
l7ouceima,al houceima
lhouceima,al houceima
l7ousayma,al houceima
l7oucima,al houceima
bni nsar,
beni ansar,
beni nsar,
"bni ansar,beni ansar""",
mdye9,mdiq
lmDye9,mdiq
lmdyeq,mdiq
mdyeq,mdiq
sidi bennour,sidi bennour
sidibnnour,sidi bennour
sidi benour,sidi bennour
sidi benor,sidi bennour
midelt,midelt
midlt,midelt
azro,azrou
azrou,azrou
blasa,place
jam3lfna,Jemaa el-Fnaa square
jam3 lafna,Jemaa el-Fnaa square
khariTa,map
5ariTa,map
l3alam,world
3alam,world
sbiTar,hospital
boSTa,post office
bouSTa,post office
lboSTa,post office
lkharij,abroad
l5arij,abroad
maTar,airport
faDa2,space
mrrikh,mars
lmrrikh,mars
marrikh,mars
9amar,moon
l9amar,moon
qamar,moon
3onwan,address
finmma,anywhere
finemma,anywhere
finamma,anywhere
llor,back
llour,back
gddam,front
goddam,front
mkhbaza,bakery
makhbaza,bakery
t7t,below
ta7t,below
te7t,below
7odoud,borders
frmasian,pharmacy
frmacian,pharmacy
frmasyan,pharmacy
firma,farm
chr9,east
